Year,No. of Dead People,No. of House damage Fully,No. of House Damage (Partialy),Crops damaged Fully (Acre),Crops damage Partialy (Acre),No. of Dead Livestock,Road Damage Fully (Km),Road Damage Partialy (km),Embankment Damages
1986,57,196803,279212,990573,711616,42374,3094,1610,13
1987,1470,71572,1691104,2983362,1873207,370129,12624,11534,1272
1988,1621,1151189,2536408,1119998,9993436,398018,47042,19675,1718
1989,23,3203,16096,58568,102716,51548,289,2195,
1990,41,14101,58418,37987,125089,8716,171,1210,125
1991,818,340043,573446,1220225,1065044,46306,1692,8919,649
1993,162,234393,615336,778513,521204,29512,4367,12217,1013
1994,10,19177,31005,55325,48133,8666,60,475,18
1995,246,898708,2014027,2823751,2023314,58100,8881,13463,2876
1996,76,218275,598818,404456,605312,47946,1635,10922,448
1997,125,13252,241147,167586,384666,4726,3490,4210,586
1998,918,980571,2446395,1423320,1808401,26564,15927,45896,4528
1999,15,138076,426695,150515,290923,137,-,-,-
2000,37,437050,309775,14262,438016,1643,409,8874,118
2002,26,115511,564527,321355,521742,25237,3720,15690,4734
2003,104,109147,541988,373376,504983,7197,2019,15493,1535
2004,747,894954,3389101,1605958,1038176,15143,14271,45528,3158
2007,970,81817,961420,890898,1335382,"1,459","3,705","27,125",88
