Year,Flood affected area,Sq-Km %
1954,36800,25
1955,50500,34
1956,35400,24
1960,28400,19
1961,28800,20
1962,37200,25
1963,43100,29
1964,31000,21
1965,28400,19
1966,33400,23
1967,25700,17
1968,37200,25
1969,41400,28
1970,42400,29
1971,36300,25
1972,20800,14
1973,29800,20
1974,52600,36
1975,16600,11
1976,28300,19
1977,12500,8
1978,10800,7
1980,33000,22
1982,3140,2
1983,11100,7.5
1984,28200,19
1985,11400,8
1986,6600,4
1987,57300,39
1988,89970,61
1989,6100,4
1990,3500,2.4
1991,28600,19
1992,2000,1.4
1993,28742,20
1994,419,0.2
1995,32000,22
1996,35800,24
1998,"1,00,250",68
1999,32000,22
2000,35700,24
2001,4000,2.8
2002,15000,10
2003,21500,14
2004,55000,38
2005,17850,12
2006,16175,11
2007,62300,42
2008,33655,23
2009,28593,19
2010,26530,18
2011,29800,20
2012,17700,12
2013,15650,10.6
2014,36895,25
2015,47200,32
2016,48675,33
2017,61979,42
2018,33941,23
2019,45747,31
