,Disaster Type,Disaster Subtype,Country,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,No Deaths,No Missing,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
0,Flood,,Bangladesh,,1960,,,1960,,,10000.0,,10000.0,,,,
1,Flood,,Bangladesh,,1963,7.0,,1963,7.0,,30.0,,30.0,,,,
2,Flood,,Bangladesh,"Rangpur, Comilla",1964,7.0,,1964,7.0,,,,,,1000000.0,,1000000.0
3,Flood,,Bangladesh,Sylhet,1966,6.0,,1966,6.0,,39.0,,39.0,,500000.0,,500000.0
4,Flood,,Bangladesh,"Nationwide, 5 Northern districts",1968,7.0,,1968,7.0,,221.0,,221.0,100000.0,14910892.0,878724.0,15889616.0
5,Flood,,Bangladesh,,1970,7.0,,1970,7.0,,,,,,10000000.0,,10000000.0
6,Flood,,Bangladesh,Sylhet,1972,6.0,25.0,1972,6.0,25.0,50.0,,50.0,,,,
7,Flood,,Bangladesh,,1973,3.0,,1973,3.0,,427.0,,427.0,,,,
8,Flood,,Bangladesh,,1973,8.0,,1973,8.0,,,,,,,,
9,Flood,,Bangladesh,,1974,7.0,,1974,7.0,,28700.0,,28700.0,,36000000.0,2000000.0,38000000.0
10,Flood,,Bangladesh,Easr,1976,6.0,15.0,1976,6.0,15.0,168.0,,168.0,,4000000.0,,4000000.0
11,Flood,,Bangladesh,Brahmaputra Valley,1977,9.0,,1977,9.0,,5.0,,5.0,,200000.0,,200000.0
12,Flood,,Bangladesh,,1977,10.0,13.0,1977,10.0,13.0,8.0,,8.0,,13650.0,,13650.0
13,Flood,Riverine flood,Bangladesh,Western,1978,8.0,,1978,8.0,,17.0,,17.0,,400000.0,,400000.0
14,Flood,,Bangladesh,North Western,1980,8.0,,1980,8.0,,655.0,,655.0,,10000000.0,,10000000.0
15,Flood,,Bangladesh,"Rajshahi, Kushtia",1982,9.0,7.0,1982,9.0,7.0,,,,,283000.0,25000.0,308000.0
